 Everything is Illuminated , Jonathan Safran Foer
 Unless , Carol Shields
 Lady Number Thirteen , Jose Carlos Somoza
 Kafka on the Shore , Haruki Murakami
 The Successor , Ismail Kadare
 The Story of Lucy Gault , William Trevor
 Vernon God Little , DBC Pierre
 That They May Face the Rising Sun , John McGahern
 The Namesake , Jhumpa Lahiri
 In the Forest , Edna O’Brien
 Shroud , John Banville
 Middlesex , Jeffrey Eugenides
 Youth , JM Coetzee
 Dead Air , Iain Banks
 Snow , Orhan Pamuk
 Nowhere Man , Aleksandar Hemon
The Book of Illusions , Paul Auster
 Gabriel’s Gift , Hanif Kureishi
 Austerlitz , WG Sebald
 Platform , Michael Houellebecq
 Schooling , Heather McGowan
 Soldiers of Salamis , Javer Cercas
 Atonement , Ian McEwan
 I’m Not Scared , Niccolo Ammaniti
 The Corrections , Jonathan Franzen
 Don’t Move , Margaret Mazzantini
 The Amazing Adventures of Kavalier & Clay , Michael Chabon
 The Body Artist , Don DeLillo
 Fury , Salman Rushdie
" At Swim, Two Boys ", Jamie O’Neill
 Choke , Chuck Palahniuk
 Life of Pi , Yann Martel
 The Feast of the Goat , Mario Vargos Llosa
 An Obedient Father , Akhil Sharma
 The Devil and Miss Prym , Paulo Coelho
" Spring Flowers, Spring Frost ", Ismail Kadare
 Bartleby and Co,  Enrique Vila-Matas
 White Teeth , Zadie Smith
 The Heart of Redness , Zakes Mda
 Under the Skin , Michel Faber
 Ignorance , Milan Kundera
 Nineteen Seventy Seven , David Peace
 Celestial Harmonies , Péter Esterházy
 City of God , EL Doctorow
 How the Dead Live , Will Self
 The Human Stain , Philip Roth
 The Blind Assassin , Margaret Atwood
 After the Quake , Haruki Murakami
 Small Remedies , Shashi Deshpande
 Super-Cannes , JG Ballard
 House of Leaves , Mark Z Danielewski
 Blonde , Joyce Carol Oates
 Pastoralia , George Saunders
 The Museum of Unconditional Surrender , Dubravka Urgresic
 In Search of Klingsor , Jorge Volpi
 Pavel’s Letters , Monika Maron
 Savage Detectives , Roberto Bolano
 Dirty Havana Trilogy , Pedro Juan Guitierrez
 The Heretic , Miguel Deliber
 Crossfire , Miyabe Miyuki
 Timbuktu , Paul Auster
 The Romantics , Pankaj Mishra
 Cryptonomicon , Neal Stephenson
 As If I Am Not There , Slavenka Drakulić
 Money to Burn , Ricardo Piglia
 Everything You Need , AL Kennedy
 Fear and Trembling , Amélie Nothomb
 Margot and the Angels , Kristien Hemmerechts
 The Ground Beneath Her Feet , Salman Rushdie
 Disgrace , JM Coetzee
 Sputnik Sweetheart , Haruki Murakami
 Fall on Your Knees , Ann-Marie MacDonald
 Elementary Particles , Michel Houellebecq
 A Light Comedy , Eduardo Mendoza
 Intimacy , Hanif Kureishi
 Ian McEwan 82, Cloudsplitter  Russell Banks
 All Souls Day , Cees Nooteboom
 The Talk of the Town , Ardal O’Hanlon
 Tipping the Velvet , Sarah Waters
 The Poisonwood Bible , Barbara Kingsolver
 Glamorama , Bret Easton Ellis
 Another World , Pat Barker
 The Hours , Michael Cunningham
 Santa Evita , Tomas Eloy Martinez
 Veronika Decides to Die , Paulo Coelho
 Mason & Dixon , Thomas Pynchon
 The God of Small Things , Arundhati Roy
 Memoirs of a Geisha , Arthur Golden
 Great Apes , Will Self
 The Late-Night News , Petros Markaris
 Enduring Love , Ian McEwan
 Troubling Love , Elena Ferrante
 Underworld , Don DeLillo
 Jack Maggs , Peter Carey
 The Life of Insects , Victor Pelevin
 Our Lady of Assassins , Fernando Vallejo
 American Pastoral , Philip Roth
